caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
2016-005,2016-005-01,2016-005-01-01,2016-005-01-01-01-07,3/21/17,1,,137 S. Ct. 911,197 L. Ed. 2d 312,2017 U.S. LEXIS 2021,2016,1705,Roberts,14-9496,MANUEL v. CITY OF JOLIET,10/5/16,,110,,3,17,1,,,0,66,,27,,0,2,2,1,1,4,0,1,0,0,10050,1,2,0,2,,2,205,NA,114,111,1,6,2,113,SSotomayor,1,1,2,2,0,0
2016-005,2016-005-01,2016-005-01-01,2016-005-01-01-01-08,3/21/17,1,,137 S. Ct. 911,197 L. Ed. 2d 312,2017 U.S. LEXIS 2021,2016,1705,Roberts,14-9496,MANUEL v. CITY OF JOLIET,10/5/16,,110,,3,17,1,,,0,66,,27,,0,2,2,1,1,4,0,1,0,0,10050,1,2,0,2,,2,205,NA,114,111,1,6,2,114,EKagan,1,2,2,2,0,0
2016-006,2016-006-01,2016-006-01-01,2016-006-01-01-01-01,2/22/17,1,,137 S. Ct. 743,197 L. Ed. 2d 46,2017 U.S. LEXIS 1427,2016,1705,Roberts,15-497,FRY v. NAPOLEON COMMUNITY SCHOOLS,10/31/16,,239,,21,27,1,19,,0,81,,26,,1,7,2,1,1,5,0,1,0,0,20210,2,2,0,4,,6,600,Individuals with Disabilities Education Act,114,111,1,8,0,111,JGRoberts,1,1,2,2,,
2016-006,2016-006-01,2016-006-01-01,2016-006-01-01-01-02,2/22/17,1,,137 S. Ct. 743,197 L. Ed. 2d 46,2017 U.S. LEXIS 1427,2016,1705,Roberts,15-497,FRY v. NAPOLEON COMMUNITY SCHOOLS,10/31/16,,239,,21,27,1,19,,0,81,,26,,1,7,2,1,1,5,0,1,0,0,20210,2,2,0,4,,6,600,Individuals with Disabilities Education Act,114,111,1,8,0,106,AMKennedy,1,1,2,2,,
2016-006,2016-006-01,2016-006-01-01,2016-006-01-01-01-03,2/22/17,1,,137 S. Ct. 743,197 L. Ed. 2d 46,2017 U.S. LEXIS 1427,2016,1705,Roberts,15-497,FRY v. NAPOLEON COMMUNITY SCHOOLS,10/31/16,,239,,21,27,1,19,,0,81,,26,,1,7,2,1,1,5,0,1,0,0,20210,2,2,0,4,,6,600,Individuals with Disabilities Education Act,114,111,1,8,0,108,CThomas,3,1,2,2,112,
2016-006,2016-006-01,2016-006-01-01,2016-006-01-01-01-04,2/22/17,1,,137 S. Ct. 743,197 L. Ed. 2d 46,2017 U.S. LEXIS 1427,2016,1705,Roberts,15-497,FRY v. NAPOLEON COMMUNITY SCHOOLS,10/31/16,,239,,21,27,1,19,,0,81,,26,,1,7,2,1,1,5,0,1,0,0,20210,2,2,0,4,,6,600,Individuals with Disabilities Education Act,114,111,1,8,0,109,RBGinsburg,1,1,2,2,,
2016-006,2016-006-01,2016-006-01-01,2016-006-01-01-01-05,2/22/17,1,,137 S. Ct. 743,197 L. Ed. 2d 46,2017 U.S. LEXIS 1427,2016,1705,Roberts,15-497,FRY v. NAPOLEON COMMUNITY SCHOOLS,10/31/16,,239,,21,27,1,19,,0,81,,26,,1,7,2,1,1,5,0,1,0,0,20210,2,2,0,4,,6,600,Individuals with Disabilities Education Act,114,111,1,8,0,110,SGBreyer,1,1,2,2,,
2016-006,2016-006-01,2016-006-01-01,2016-006-01-01-01-06,2/22/17,1,,137 S. Ct. 743,197 L. Ed. 2d 46,2017 U.S. LEXIS 1427,2016,1705,Roberts,15-497,FRY v. NAPOLEON COMMUNITY SCHOOLS,10/31/16,,239,,21,27,1,19,,0,81,,26,,1,7,2,1,1,5,0,1,0,0,20210,2,2,0,4,,6,600,Individuals with Disabilities Education Act,114,111,1,8,0,112,SAAlito,3,2,2,2,,
2016-006,2016-006-01,2016-006-01-01,2016-006-01-01-01-07,2/22/17,1,,137 S. Ct. 743,197 L. Ed. 2d 46,2017 U.S. LEXIS 1427,2016,1705,Roberts,15-497,FRY v. NAPOLEON COMMUNITY SCHOOLS,10/31/16,,239,,21,27,1,19,,0,81,,26,,1,7,2,1,1,5,0,1,0,0,20210,2,2,0,4,,6,600,Individuals with Disabilities Education Act,114,111,1,8,0,113,SSotomayor,1,1,2,2,,
2016-006,2016-006-01,2016-006-01-01,2016-006-01-01-01-08,2/22/17,1,,137 S. Ct. 743,197 L. Ed. 2d 46,2017 U.S. LEXIS 1427,2016,1705,Roberts,15-497,FRY v. NAPOLEON COMMUNITY SCHOOLS,10/31/16,,239,,21,27,1,19,,0,81,,26,,1,7,2,1,1,5,0,1,0,0,20210,2,2,0,4,,6,600,Individuals with Disabilities Education Act,114,111,1,8,0,114,EKagan,1,2,2,2,,
