caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
2015-004,2015-004-01,2015-004-01-01,2015-004-01-01-01-01,12/14/15,1,,135 S. Ct. 1547,191 L. Ed. 2d 636,2015 U.S. LEXIS 1966,2015,1704,Roberts,14-462,"DIRECTV, INC. v. IMBURGIA",10/6/15,,124,,134,,1,,,0,302,6,301,6,0,5,2,2,1,4,0,1,0,0,80160,8,1,0,7,4,3,388,NA,110,111,1,6,3,111,JGRoberts,1,1,1,2,,
2015-004,2015-004-01,2015-004-01-01,2015-004-01-01-01-02,12/14/15,1,,135 S. Ct. 1547,191 L. Ed. 2d 636,2015 U.S. LEXIS 1966,2015,1704,Roberts,14-462,"DIRECTV, INC. v. IMBURGIA",10/6/15,,124,,134,,1,,,0,302,6,301,6,0,5,2,2,1,4,0,1,0,0,80160,8,1,0,7,4,3,388,NA,110,111,1,6,3,105,AScalia,1,1,1,2,,
2015-004,2015-004-01,2015-004-01-01,2015-004-01-01-01-03,12/14/15,1,,135 S. Ct. 1547,191 L. Ed. 2d 636,2015 U.S. LEXIS 1966,2015,1704,Roberts,14-462,"DIRECTV, INC. v. IMBURGIA",10/6/15,,124,,134,,1,,,0,302,6,301,6,0,5,2,2,1,4,0,1,0,0,80160,8,1,0,7,4,3,388,NA,110,111,1,6,3,106,AMKennedy,1,1,1,2,,
2015-004,2015-004-01,2015-004-01-01,2015-004-01-01-01-04,12/14/15,1,,135 S. Ct. 1547,191 L. Ed. 2d 636,2015 U.S. LEXIS 1966,2015,1704,Roberts,14-462,"DIRECTV, INC. v. IMBURGIA",10/6/15,,124,,134,,1,,,0,302,6,301,6,0,5,2,2,1,4,0,1,0,0,80160,8,1,0,7,4,3,388,NA,110,111,1,6,3,108,CThomas,2,2,2,1,,
2015-004,2015-004-01,2015-004-01-01,2015-004-01-01-01-05,12/14/15,1,,135 S. Ct. 1547,191 L. Ed. 2d 636,2015 U.S. LEXIS 1966,2015,1704,Roberts,14-462,"DIRECTV, INC. v. IMBURGIA",10/6/15,,124,,134,,1,,,0,302,6,301,6,0,5,2,2,1,4,0,1,0,0,80160,8,1,0,7,4,3,388,NA,110,111,1,6,3,109,RBGinsburg,2,2,2,1,,
2015-004,2015-004-01,2015-004-01-01,2015-004-01-01-01-06,12/14/15,1,,135 S. Ct. 1547,191 L. Ed. 2d 636,2015 U.S. LEXIS 1966,2015,1704,Roberts,14-462,"DIRECTV, INC. v. IMBURGIA",10/6/15,,124,,134,,1,,,0,302,6,301,6,0,5,2,2,1,4,0,1,0,0,80160,8,1,0,7,4,3,388,NA,110,111,1,6,3,110,SGBreyer,1,2,1,2,,
2015-004,2015-004-01,2015-004-01-01,2015-004-01-01-01-07,12/14/15,1,,135 S. Ct. 1547,191 L. Ed. 2d 636,2015 U.S. LEXIS 1966,2015,1704,Roberts,14-462,"DIRECTV, INC. v. IMBURGIA",10/6/15,,124,,134,,1,,,0,302,6,301,6,0,5,2,2,1,4,0,1,0,0,80160,8,1,0,7,4,3,388,NA,110,111,1,6,3,112,SAAlito,1,1,1,2,,
2015-004,2015-004-01,2015-004-01-01,2015-004-01-01-01-08,12/14/15,1,,135 S. Ct. 1547,191 L. Ed. 2d 636,2015 U.S. LEXIS 1966,2015,1704,Roberts,14-462,"DIRECTV, INC. v. IMBURGIA",10/6/15,,124,,134,,1,,,0,302,6,301,6,0,5,2,2,1,4,0,1,0,0,80160,8,1,0,7,4,3,388,NA,110,111,1,6,3,113,SSotomayor,2,1,2,1,109,
2015-004,2015-004-01,2015-004-01-01,2015-004-01-01-01-09,12/14/15,1,,135 S. Ct. 1547,191 L. Ed. 2d 636,2015 U.S. LEXIS 1966,2015,1704,Roberts,14-462,"DIRECTV, INC. v. IMBURGIA",10/6/15,,124,,134,,1,,,0,302,6,301,6,0,5,2,2,1,4,0,1,0,0,80160,8,1,0,7,4,3,388,NA,110,111,1,6,3,114,EKagan,1,1,1,2,,
2015-004,2015-004-01,2015-004-01-02,2015-004-01-02-01-01,12/14/15,1,,135 S. Ct. 1547,191 L. Ed. 2d 636,2015 U.S. LEXIS 1966,2015,1704,Roberts,14-462,"DIRECTV, INC. v. IMBURGIA",10/6/15,,124,,134,,1,,,0,302,6,301,6,0,5,2,2,1,4,0,1,0,0,80110,8,2,0,4,7,3,388,NA,110,111,1,6,3,111,JGRoberts,1,1,2,2,,
